time,supercategory,category,subcategory,segment,manufacturer,product,sales,tdp,upc
LY,"CANDY,_GUM,_MINTS",MINTS,REGULAR,FRUIT_MINT_BLEND,FERRERO_S.P.A,CALORIE FREE ,64509963,147.6,16
LY,"CANDY,_GUM,_MINTS",MINTS,REGULAR,FRUIT_MINT_BLEND,FERRERO_S.P.A,0 CALORIES PER SERVING ,64505661,147.6,14
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,TOOTSIE_ROLL_INDUSTRIES_INC,VERY LOW SODIUM   ,46672647,147.6,29
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM ANTIBIOTICS ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM CAFFEINE ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,CONTAINS COCOA ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,CONTAINS DAIRY ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,HIGH LIKELIHOOD OF GMO INGREDIENTS ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM HIGH FRUCTOSE CORN SYRUP ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM HORMONES ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,CONTAINS LACTOSE ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM MSG ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM NATURAL COLORS ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,FREE FROM NATURAL PRESERVATIVES ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,CONTAINS NATURAL SWEETENERS ,35636726,147.6,18
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,GUMMI,PRIVATE_LABEL,FREE FROM SOY ,52045297,147.5,176
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,DARK_CHOCOLATE,CHOCOLADEFABRIKEN_LINDT_&_SPRUNGLI_AG,CONTAINS GLUTEN ,47554485,147.5,22
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,AUGUST_STORCK_KG,CONTAINS NATURAL FLAVORS ,35610373,147.4,17
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,PERFETTI_VAN_MELLE,CONTAINS HIGH FRUCTOSE CORN SYRUP ,114422267,147.3,24
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MILK_CHOCOLATE,YILDIZ_HOLDING_A.S.,FREE FROM NATURAL COLORS ,67505998,147.3,41
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,MILK_CHOCOLATE,CHOCOLADEFABRIKEN_LINDT_&_SPRUNGLI_AG,201 TO 300 CALORIES PER SERVING ,59729849,147.3,55
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,1G TO LESS THAN 2.5G FIBER PER SERVING ,58399929,147.2,18
LY,"CANDY,_GUM,_MINTS",CHOCOLATE,MULTI_SERVE,MIXED_CHOCOLATE,THE_HERSHEY_CO,1G TO LESS THAN 2.5G FIBER PER SERVING ,141231175,147.1,51
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,CONTAINS PEANUT ,58176514,147.1,21
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,CONTAINS PEANUT ,58176514,147.1,21
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,JELLY_BEAN,FERRARA_CANDY_COMPANY_INC,FAT FREE ,61869060,147,123
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,PRIVATE_LABEL,CONTAINS NATURAL SWEETENERS ,57848024,147,488
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,MARSHMALLOW,JUST_BORN_INC,CONTAINS ARTIFICIAL INGREDIENTS ,61683178,146.9,46
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,GUMMI,PRIVATE_LABEL,10G TO LESS THAN 15G ADDED SUGAR PER SERVING ,54189208,146.8,340
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,LICORICE,AMERICAN_LICORICE_COMPANY,CONTAINS GLUTEN ,85466442,146.7,69
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,PERFETTI_VAN_MELLE,FREE FROM GLUTEN ,81250940,146.7,29
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,PERFETTI_VAN_MELLE,FREE OF GLUTEN ,81236216,146.7,28
CY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,THE_HERSHEY_CO,0G FIBER PER SERVING ,40792737,146.7,15
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,LICORICE,AMERICAN_LICORICE_COMPANY,KOSHER ,85355450,146.6,68
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,CHEWY,AMERICAN_LICORICE_COMPANY,CONTAINS ARTIFICIAL FLAVORS ,89277253,146.4,65
CY,"CANDY,_GUM,_MINTS",CONFECTION,SINGLE_SERVE,NONCHOCOLATE_BAR,THE_HERSHEY_CO,15G TO LESS THAN 25G ADDED SUGAR PER SERVING ,69426104,146.4,15
CY,"CANDY,_GUM,_MINTS",CHOCOLATE,SINGLE_SERVE,DARK_CHOCOLATE,MONDELEZ_INTERNATIONAL_INC,1G TO LESS THAN 10G PROTEIN PER SERVING ,44967347,146.4,24
LY,"CANDY,_GUM,_MINTS",CONFECTION,MULTI_SERVE,HARD_CANDY,PRIVATE_LABEL,CONTAINS ADDED SUGAR ,26721538,146.4,244
